Country,Date & Time,IP Address,Method,Route
"Bengaluru, IN","3/2/2025, 6:15:44 pm",122.167.196.29,POST,/auth/login
"Bengaluru, IN","3/2/2025, 6:16:22 pm",122.167.196.29,POST,/auth/login
", ","3/2/2025, 6:16:42 pm",localhost,POST,/auth/register
", ","4/2/2025, 2:31:08 pm","localhost","POST","/auth/register"
", ","4/2/2025, 2:31:15 pm","localhost","POST","/auth/register"
", ","4/2/2025, 2:33:02 pm","localhost","POST","/auth/register"
", ","4/2/2025, 2:33:29 pm","localhost","POST","/auth/register"
", ","4/2/2025, 2:34:34 pm","localhost","POST","/auth/register"
", ","4/2/2025, 2:34:38 pm","localhost","POST","/auth/register"
", ","4/2/2025, 2:35:45 pm","localhost","POST","/auth/register"
", ","4/2/2025, 3:01:21 pm","localhost","POST","/auth/login"
", ","4/2/2025, 3:01:50 pm","localhost","POST","/auth/register"
", ","4/2/2025, 3:04:52 pm","localhost","PATCH","/auth/update-profile"
", ","4/2/2025, 3:05:18 pm","localhost","POST","/auth/login"
", ","4/2/2025, 3:05:29 pm","localhost","PATCH","/auth/update-profile"
", ","4/2/2025, 3:07:50 pm","localhost","PATCH","/auth/update-profile"
", ","4/2/2025, 3:08:27 pm","localhost","PATCH","/auth/update-profile"
", ","4/2/2025, 3:08:59 pm","localhost","PATCH","/auth/update-profile"
", ","4/2/2025, 3:09:29 pm","localhost","PATCH","/auth/update-profile"
", ","4/2/2025, 3:10:06 pm","localhost","PATCH","/auth/update-profile"
", ","4/2/2025, 3:10:25 pm","localhost","PATCH","/auth/update-profile"
